EMPLOYER_CANONICAL,total_filings,mba_relevant_filings,certified,new_position_share,median_annual_wage,any_willful_violator,any_h1b_dependent,mba_share
Segway Inc.,12,11,1.0,0.5,140039.9,False,False,0.9166666666666666
"UHOMES.COM NEW YORK, INC.",12,11,1.0,1.0,82763.2,False,False,0.9166666666666666
Brookfield Asset Management LLC,47,43,1.0,0.7021276595744681,200000.0,False,False,0.9148936170212766
Grant Thornton Advisors LLC,246,225,0.9959349593495935,0.6504065040650406,110250.0,False,False,0.9146341463414634
PJT Partners Holdings LP,140,128,1.0,0.8142857142857143,128981.0,False,False,0.9142857142857143
Trenmor LLC,116,106,1.0,0.7327586206896551,121857.0,False,False,0.9137931034482759
UBS SECURITIES LLC,207,189,1.0,0.5700483091787439,175000.0,False,False,0.9130434782608695
"Guggenheim Securities, LLC",23,21,1.0,0.6956521739130435,175000.0,False,False,0.9130434782608695
Intellipro Group Inc,34,31,1.0,0.6470588235294118,81249.0,False,False,0.9117647058823529
Brevan Howard US Investment Management LP,44,40,1.0,0.6363636363636364,200000.0,False,False,0.9090909090909091
"Astellas Pharma US, Inc.",11,10,1.0,0.8181818181818182,140300.0,False,False,0.9090909090909091
Bisonte Industrial USA LLC,11,10,1.0,1.0,67000.0,False,False,0.9090909090909091
FARMASI US LLC,11,10,1.0,0.9090909090909091,62618.4,False,False,0.9090909090909091
"Liberty Mutual Group Asset Management, Inc.",11,10,1.0,0.2727272727272727,137305.5,False,False,0.9090909090909091
"Loomis, Sayles & Company, LP",11,10,1.0,0.18181818181818182,158002.0,False,False,0.9090909090909091
Manifest Legal Tech Inc,11,10,1.0,1.0,160000.0,False,False,0.9090909090909091
"TOT Payments, LLC",11,10,1.0,0.9090909090909091,68000.0,False,False,0.9090909090909091
Zoho Technologies Corporation,11,10,1.0,0.9090909090909091,140000.0,False,False,0.9090909090909091
"FAST N FRIENDLY, LLC",32,29,1.0,0.90625,49234.0,False,False,0.90625
Royal Bank of Canada US,32,29,1.0,0.84375,147500.0,False,False,0.90625
Armanino Advisory LLC,21,19,1.0,0.09523809523809523,135800.0,False,False,0.9047619047619048
Artesia Soft Inc.,21,19,1.0,0.9523809523809523,57117.0,False,False,0.9047619047619048
"Druva, Inc.",21,19,1.0,0.7142857142857143,200000.0,False,False,0.9047619047619048
GOFO Inc.,143,129,1.0,0.9440559440559441,57252.0,False,False,0.9020979020979021
Genius Minds LLC,30,27,1.0,0.26666666666666666,99306.5,False,False,0.9
