SOC_TITLE,filings
"Agricultural Workers, All Other",3
Nurse Anesthetists,3
Automotive Engineering Technicians,3
Home Health Aides,3
"Teaching Assistants, Postsecondary",3
Tutors,3
Craft Artists,3
Financial and Investment Analyst,3
Advanced Practice Psychiatric Nurses,3
Clinical Neuropsychologists,3
"Entertainers and Performers, Sports and Related Workers, All Other",3
Diagnostic Medical Sonographers,3
Emergency Medical Technicians,3
First-Line Supervisors of Non-Retail Sales Workers,3
"Civil Engineers, NonR&D",3
"ENGINEERING TEACHERS, POSTSECONDARY",3
BUSINESS INTELLIGENCE ANALYSTS,3
Helpers--Production Workers,3
Emergency Management Directors,3
"Physicians, All Others",3
Remote Sensing Technicians,3
Psychiatric Technicians,3
Civil Engineer,3
Choreographers,3
Nursing Assistants,3
Appraisers of Personal and Business Property,3
PRODUCERS AND DIRECTORS,3
"Managers, All others",3
Animal Caretakers,3
Sales Manager,3
Calibration Technologists and Technicians,3
Financial Analysts,2
Information technology Project Managers,2
"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",2
"Environmental Scientists and Specialists, Includin",2
Parts Salespersons,2
Information Technology Project Manager,2
Computer and Information System Managers,2
"Software Developer, Non R&D",2
"Administrative Law Judges, Adjudicators, and Hearing Officers",2
Musical Instrument Repairers and Tuners,2
Information Security Analyst,2
Marketing Research Analysts and Marketing Specialists,2
ELECTRONICS ENGINEERS,2
"Textile, Apparel, and Furnishings Workers, All Other",2
Adapted Physical Education Specialists,2
Software Quality Assurance Analysts & Testers,2
"Computer Occupations, ALL Other",2
Medical Transcriptionists,2
Biofuels Production Managers,2
Computer & Information Systems Managers,2
"Educational, Guidance, and Career Counselors and A",2
"Physicians, all other",2
"Personal Care and Service Workers, All Other",2
Food Scientist and Technologist,2
"Camera Operators, Television, Video, and Film",2
Bioinformatics Scientist,2
Medical Equipment Repairers,2
Web and digital Interface Designers,2
BusinessIntelligenceAnalysts,2
Cardiovascular Technologists and Technicians,2
"Software Quality Assurance Analysts and Testers, R&D",2
"Secondary School Teachers, Except Special and Care",2
Sales Engineer,2
Environmental Scientists and Specialists,2
Equal Opportunity Representatives and Officers,2
"Drafters, All Other",2
Audiovisual Equipment Installers and Repairers,2
COMPUTER AND INFORMATION SYSTEMS MANAGERS,2
Farm Equipment Mechanics and Service Technicians,2
General and Operation Managers,2
General Internal Medicine Physician,2
Agricultural Equipment Operators,2
Dancers,2
Energy Auditors,2
Telecommunications Line Installers and Repairers,2
Procurement Clerks,2
Legislators,2
Electrical and Electronics Drafters,2
Payroll and Timekeeping Clerks,2
SPECIAL EFFECTS ARTIST AND ANIMATORS,2
Market Research Analysts,2
VETERINARIANS,2
Slaughterers and Meat Packers,2
Financial and Investment Anlaysts,2
"Financial Specialist, All other",2
Management Analyst,2
SOFTWARE QUALITY ASSURANCE ANALYSTS AND TESTERS,2
First-Line Supervisors of Construction Trades and Extraction Workers,2
Animal Breeders,2
Occupational Health and Safety Technicians,2
Nurse Midwives,2
Real Estate Brokers,2
Proofreaders and Copy Markers,2
Consultant,2
"Hairdressers, Hairstylists, and Cosmetologists",2
Civil Engineering Technolgists,2
"Construction and Related Workers, All Other",2
Broadcast Technicians,2
Database Administrator,2
Sofware Developers,1
Purchasing Manager,1
Psychiatrist,1
Computer Systems Engineer/Architects,1
"Social Scientists and Related Wokers, All Other",1
Concierges,1
Automotive Body and Related Repairers,1
Amusement and Recreation Attendants,1
AGRICULTURAL TECHNICIANS,1
"AGRICULTURAL SCIENCE TEACHERS, POSTSECONDARY",1
General Dentists,1
"Educational, Guidance, School, and Vocational Counselors",1
"Electronics Engineers, Except Computer2.00",1
Construction Manager,1
Desktop Publishers,1
Statistician,1
Computer Systems Administrators,1
"Software Quality Assurance, Testing and Release",1
"Airline Pilot, Copilots, and Flight Engineers",1
"Secondary School Teachers, Except Special & Career/Technical Education",1
Machinists,1
Network and Computer System Administrators,1
Web and Digital interface Designers,1
"Office Clerks, General",1
Personal Care Aides,1
"Healthcare Support Workers, All Other",1
Climate Change Analysts,1
Mechanical Engineer II,1
"Plant and System Operators, All Other",1
Mechanical Enginers,1
Occupational Therapy Assistants,1
"Fine Artists, Including Painters, Sculptors, and I",1
"Sales Representatives, Wholesale and Manufacturing, Technical, and Scientific Products",1
"Postsecondary Teachers, All Others",1
SPECIALL EFFECTS ARTISTS ADN ANIMATORS,1
Prepress Technicians and Workers,1
"Electrical Engineers, Non-R&D",1
Probation Officers and Correctional Treatment Specialists,1
"Geoscientists, except Hydrologists and Geographers",1
"Foreign Language and Literature Teachers, Postseco",1
Medical and Clinical Laboratory Technologist,1
"Electronics Engineers, Except Computer, NonR&D",1
Software Engineer,1
"Social Scientists and Related Workers, All other",1
Ship Engineers,1
Medical and Health Services Manages,1
"Assemblers and Fabricators, All Other",1
Computer Systems Network Architect,1
Spa Managers,1
SOIL AND PLANT SCIENTISTS,1
Material Scientists,1
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1
CIVIL ENGINEERS,1
"Internists, General",1
Food Scientist and Technologists,1
"Secondary School Teachers, Except Special and Career/Technical",1
Carpenters,1
"Teaching Assistants, Special Education",1
"Financial Specialist, All Other",1
Histology Technicians,1
Computer Information Systems Managers,1
Animal Trainers,1
IT Project Managers,1
Market Research Analysts and Marketing Specialist,1
Regulatory Affair Specialist,1
"Community and Social Servie Specialists, All Other",1
Aviation Inspectors,1
"Teaching Assistants, All Other",1
Audio and Video Technicians,1
Sotware Developers,1
Childcare Workers,1
Order Clerks,1
"Shipping, Receiving, and Inventory Clerks",1
"Art, Drama and Music Teachers, Postsecondary",1
"Communication Teachers, Postsecondary",1
CARDIOLOGISTS,1
"Civil Engineers, Non-R&D",1
"Surgeons, All Others",1
Business intelligence analyst,1
FINANCIAL MANAGERS,1
MOLECULAR AND CELLULAR BIOLOGISTS,1
Human Resources Specialist,1
Staff Pharmacist FT,1
"BUSINESS TEACHERS, POSTSECONDARY",1
Software Quality Assurance Analysts and  Testers,1
Models,1
Hazardous Materials Removal Workers,1
Speech-Language Pathologist,1
Software Developers-1252.00,1
Wind Energy Operations Managers,1
Computer Network Administrators,1
Industrial Production Manager,1
Other Management Consulting Services,1
Enviornmental Engineers,1
"Computer Hardware Engineers, NonR&D",1
Multimedia Artists and Animators,1
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1
Licensed Practical and Licensed Vocational Nurses,1
Automotive Engineer,1
Dentists,1
"Engineers, All Others",1
Network and Computer Systems Administrator,1
GRAPHIC DESIGNERS,1
Software Developers (Non-R&D),1
Construction managers,1
ELECTRONICS ENGINEER,1
Airfield Operations Specialists,1
"Engineers, all Other",1
"English Language and Literature Teahers, Postsecondary",1
Biomedical Engineers,1
Chief Sustainability Officers11-111111-111111-111111-1111,1
Hospitalist,1
MARKETING MANAGERS,1
Social Science Research Assistant,1
Computer Engineers,1
Computer and Information Systems Manager,1
"Purchasing Agents, Except Wholesale, Retail and Farm Products",1
"Laborers and Freight, Stock, and Material Movers, Hand",1
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",1
"Earth Drillers, Except Oil and Gas",1
Logisticians Analysts,1
"Electonics Engineers, Except Computer",1
Pharmacy Technicians,1
Industrial Engineer,1
"Electronics Engineers, Except Computer, Non-R&D",1
Watch and Clock Repairers,1
Data Engineer,1
Human Factors Engineers & Ergonomists,1
Robotics Engineer,1
Computer Systems Engineers,1
"MATHEMATICAL SCIENCE TEACHERS, POSTSECONDARY",1
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1
Music Therapist,1
Network & Computer Systems Administrators,1
Retail Salespersons,1
Brokerage Clerks,1
Optometrist,1
ART DIRECTORS,1
Architects/Except Landscape and Naval,1
"Poets, Lyricists and Creative Writers",1
FILM AND VIDEO EDITORS,1
Market Research Analyst,1
"FINANCIAL SPECIALISTS, ALL OTHER",1
Loan Interviewers and Clerks,1
DIETITIANS AND NUTRITIONISTS,1
"SURGEONS, ALL OTHER",1
Computer Systems Engineer/Architect,1
"Maintenance Workers, Machinery",1
Surgical Assistants,1
Network and Computers Systems Administrators,1
Jewelers and Precious Stone and Metal Workers,1
COMPUTER AND INFORMATION RESEARCH SCIENTISTS,1
"Computer, Automated Teller, and Office Machine Repairers",1
Information Technology Project Managers15-1299.09,1
"Education and Childcare Administrators, Preschool",1
Sports Medicine Physician,1
19-2031.00,1
Avionics Technicians,1
Ophthalmic Medical Technicians,1
Marketing Manager,1
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",1
"Cooks, All Other",1
"Captains, Mates, and Pilots of Water Vessels",1
MANAGEMENT ANALYSTS,1
Web & Digital Interface Designers,1
Solar Energy Installation Managers,1
Software Developes,1
Occupational Therapy Aides,1
Market Research  Analysts and Marketing Specialists,1
Nuclear Technicians,1
Photonics Technicians,1
"Building Cleaning Workers, All Other",1
"Surgeons, All  Other",1
Naturopathic Physicians,1
Information Security Engineer,1
Physicist,1
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",1
Neurodiagnostic Technologists,1
Government Property Inspectors and Investigators,1
OPERATIONS RESEARCH ANALYSTS,1
